hersteller,modell,generation,fahrzeugbezeichnung,baujahr,kraftstoffart,verbrauch_l_pro_100_km,tankgroesse_1,adac_url,adac_modell_url,adac_generation_url
Mazda,MX-30,DR,Mazda MX-30 e-SKYACTIV R-EV Prime-Line (02/23 - 01/25),2023,Strom / Super,,,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/dr/327044/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/dr/
Mazda,CX-5,GH,Mazda CX-5 2.2 SKYACTIV-D 150 Center-Line (04/12 - 02/15),2012,Diesel,4.6,56.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-5/gh/230366/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-5/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-5/gh/
Mazda,MPV,LW Facelift,Mazda MPV 2.3 Exclusive (05/02 - 10/03),2002,Super,10.1,75.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mpv/lw-facelift/110285/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mpv/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mpv/lw-facelift/
Mazda,CX-5,GH,Mazda CX-5 2.0 SKYACTIV-G 160 Center-Line AWD Automatik (04/12 - 02/15),2012,Super,6.6,58.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-5/gh/230370/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-5/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-5/gh/
Mazda,MPV,LW Facelift,Mazda MPV 2.0 TD Exclusive6-Karakuri (04/03 - 11/05),2003,Diesel,7.1,75.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mpv/lw-facelift-2/997420/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mpv/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mpv/lw-facelift-2/
Mazda,CX-5,GH,Mazda CX-5 2.0 SKYACTIV-G 165 Center-Line (04/12 - 02/15),2012,Super,6.0,56.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-5/gh/230364/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-5/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-5/gh/
Mazda,MX-5,ND Facelift,Mazda MX-5 1.5 SKYACTIV-G 132 Homura (06/24 - 09/25),2024,Super,6.2,45.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-5/nd-facelift/335956/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-5/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-5/nd-facelift/
Mazda,MX-30,DR,Mazda MX-30 e-SKYACTIV R-EV Exclusive-Line (01/25 - 01/26),2025,Strom / Super,,,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/dr/338194/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/dr/
Mazda,MX-30,DR,Mazda MX-30 e-SKYACTIV R-EV Nagisa (01/25 - 01/26),2025,Strom / Super,,,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/dr/338196/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/dr/
Mazda,MX-30,DR,Mazda MX-30 e-SKYACTIV R-EV Prime-Line (01/25 - 01/26),2025,Strom / Super,,,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/dr/338192/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/dr/
